Name,Country,priority_rank,area_km2,percentage_protected,mean_HII,priority_set
Jawaharlal Nehru Bustard Sanctuary,India,5334,11638.76,20.69,24.87,0
Kepulauan Sagori,Indonesia,5335,13.71,0,19.97,0
Lanyu,Taiwan,5336,44.67,0,21.89,0
Mae Ping,Thailand,5337,1122.26,99.12,15.79,0
Galichica Mountain,"Macedonia, the former Yugoslav Republic of",5338,246.73,91.59,15.17,0
Sierra Morones,Mexico,5339,294.95,43.47,22.38,0
Tra Co,Vietnam,5340,54.46,0,29.42,0
Flooded coastal meadows near Tyrai bog,Lithuania,5341,17.53,88.88,27.81,0
Lake Tungjong and Lake Chonapo,North Korea,5342,32.06,0,27.33,0
Sarayönü,Turkey,5343,447.54,0,24.59,0
Rrajca,Albania,5344,18.14,85.71,25.57,0
Hyonosen-Ushiroyama-Nagisan Mountains,Japan,5344,965.67,99.71,22,0
Tanzawa-Oyama,Japan,5346,473.86,96.45,33.17,0
Urdaibai - Matxitxako,Spain,5347,115.07,58.71,29.44,0
Jablanica,"Macedonia, the former Yugoslav Republic of",5348,95.82,48.64,28.97,0
Lower Rappahannock River,USA,5349,628.66,37.94,19.17,0
Dankunku wetlands,Gambia,5350,153.9,0,22.14,0
Lake Manzala,Egypt,5351,247.16,3.57,29.8,0
Lascaanod - Taleex - Ceel Chebet,Somalia,5352,10931.16,0,8.73,0
Parque Nacional das Emas,Brazil,5353,1517.99,99.35,16.49,0
Henghe Liangzi,China (mainland),5354,62.1,0,24.9,0
Ryonghung Gang estuary,North Korea,5355,166.52,0,27.41,0
Changdao Nature Reserve,China (mainland),5356,19,71.43,19.16,0
Kaapsehoop,South Africa,5357,49.66,43.75,9.97,0
Figueira da Foz,Portugal,5358,71.05,48.04,25.41,0
North Nandi forest,Kenya,5359,209.97,62.3,18.86,0
Lotfatabad and Darregaz area,"Iran, Islamic Republic of",5360,57.35,0,24.66,0
Coomallo,Australia,5361,92.24,35.47,12.96,0
Luapula Mouth,Zambia,5362,1021.29,1.66,18.05,0
Kozanlı Gökgöl,Turkey,5363,61.52,0,22.55,0
St Lazaria Island Colony,USA,5364,108.61,0,8.88,0
Upper Lao Mekong,Laos,5365,927.12,3.83,18.15,0
Botumirim,Brazil,5366,359.09,0,10.63,0
Mau forest complex,Kenya,5367,3187.34,71.06,16.11,0
Lake Abe wetland system,Ethiopia,5368,705.29,14.82,16.84,0
Çığlıkara Forests (and Avlan Lake),Turkey,5369,500.73,0,19.69,0
Caxiuanã / Portel,Brazil,5370,34990.9,10.97,4.54,0
Qixingkeng,China (mainland),5371,254.87,0,13.74,0
Stagnone di Marsala and Trapani saltpans,Italy,5372,13.58,19.97,43.34,0
Ponds around Old Shinainuma,Japan,5373,43.12,6.25,29.31,0
Minami-Kaga,Japan,5374,88.69,3.12,33.61,0
Tersakan Lake,Turkey,5375,115.73,0,16.15,0
Sur de Ramallo,Argentina,5376,487.99,4.12,21.5,0
Bolluk Lake,Turkey,5377,169.87,0,22.14,0
Coringa Wildlife Sanctuary and Godavari estuary,India,5378,154.86,27.65,26.5,0
Wandown,Australia,5379,132.87,63.81,18.93,0
Akyay Plain,Turkey,5380,230.76,0,32.24,0
Jafna Lagoon,Sri Lanka,5381,427.66,4.76,26.86,0
Middle reaches of the Bikin river,Russia (Asian),5382,1306.88,10.15,7.32,0
"Mount Lepetymnos, Lesvos, and surrounding marine area",Greece,5383,109.16,90.24,19.85,0
Symi island and surrounding islets,Greece,5384,60.8,45.46,17.37,0
Doho Rice Scheme,Uganda,5385,86.04,0,20.35,0
Mabira Forest Reserve,Uganda,5386,519.76,98.68,15.25,0
Monumento Natural Tepui Guanay,Venezuela,5387,181.49,0,2.73,0
Kii Nagashima islets,Japan,5388,34.17,75,30.9,0
Çiçek Islands,Turkey,5389,21.55,0,NA,0
Jogimatti Reserve Forest,India,5390,86.77,0,20.58,0
Susangerd marshes,"Iran, Islamic Republic of",5391,1411.27,5.2,16.82,0
Durmitor,Montenegro,5392,529.97,0,22.71,0
Hotamış Marshes,Turkey,5393,261.96,0,19.46,0
Rivers and Ponds in Himi,Japan,5394,46.84,70.58,39.56,0
Red Hills Ecosystem,USA,5395,646.09,16.53,17.5,0
Kushum Lakes,Kazakhstan,5396,1908.49,0,6.94,0
Ponds in Uonuma,Japan,5397,68.6,0,27.43,0
Stogovo,"Macedonia, the former Yugoslav Republic of",5398,67.03,30.76,22.95,0
Kulu Lake,Turkey,5399,24.05,0,26.6,0
Leizhou Peninsula,China (mainland),5400,167.2,0,27.65,0
Tenna & Herøy,Norway,5401,12.61,44.42,27.33,0
Blyde River Canyon,South Africa,5402,958.21,97.71,11.39,0
Baynes Sound,Canada,5403,46.92,19.06,31.84,0
West Donegal coast,Ireland,5404,188.6,88.41,19.4,0
Hampi and Daroji Bear Sanctuary,India,5405,36.52,0,31.15,0
Loxahatchee River and Slough,USA,5406,132.12,44.17,40.89,0
Manaung Kyun,Myanmar,5407,61.93,0,NA,0
Ras el Melan Dunes,Tunisia,5408,27.54,0,40.41,0
Shikari Devi Wildlife Sanctuary,India,5409,111.54,73.68,17.51,0
Lake Samilpo,North Korea,5410,10.75,0,27.49,0
Lake Kwangpo,North Korea,5411,37.04,0,29.45,0
Sri Nan,Thailand,5412,865.97,89.05,17.49,0
North-east Sakhalin lagoons,Russia (Asian),5413,1915.62,33.5,20.61,0
Gökdere,Turkey,5414,727.2,0,21.83,0
Baie de Gaspé,Canada,5415,154.2,7.34,40.35,0
San Rafael Grasslands,USA,5416,311.44,15.1,9.51,0
Outer Indus delta,Pakistan,5417,3187.05,45.06,13.67,0
Séri,Mali,5418,502.3,0,25.64,0
Plataforma continental de Tarfaya,Morocco,5419,294.8,35.96,11.33,0
Lagos de Yahuarcaca e Isla Ronda,Colombia,5420,3.43,0,20.17,0
Makronisos channel,Greece,5421,51.71,52.67,36.81,0
Huang He Shouqu Nature Reserve,China (mainland),5422,4488.4,85.87,12.68,0
Shar Planina Mountain,"Macedonia, the former Yugoslav Republic of",5423,417.33,6.14,23.83,0
Batmış Lake (Cil Lake),Turkey,5424,26.79,0,17.7,0
Área de Relevante Interesse Ecológico Projeto Dinâmica Biológica de Fragmentos Florestais e Entorno,Brazil,5425,584.67,40,6.93,0
Crn Drim gorge,"Macedonia, the former Yugoslav Republic of",5426,142.22,5.46,22.88,0
Haur Al Shubaicha,Iraq,5427,754.01,0,12.98,0
Kenshektau Mountains,Kazakhstan,5428,156.65,0,2.4,0
Huihe Nature Reserve,China (mainland),5429,1683.24,47.15,13.05,0
Bey Mountains,Turkey,5430,1938.76,0,20.13,0
Mae Jarim Wildlife Sanctuary,Thailand,5431,641.03,97.96,16.03,0
Kampong Trach,Cambodia,5432,40.62,25,28.57,0
Qoleileh-Naqoura Coastal Zone,Lebanon,5433,43.23,26.66,34.54,0
Yahagigawa estuary,Japan,5434,28.26,80,45.02,0
Tsavo East National Park,Kenya,5435,13827.88,97.96,21.07,0
Ponds in Sanuki Plain,Japan,5436,816.56,23.34,45.44,0
Murphy's Rust,South Africa,5437,24.25,0,21.05,0
Tamga and Aqqa Wabzaza,Morocco,5438,303.62,79.81,12.59,0
Naruto-Ohtsu,Japan,5439,22.79,0,53.1,0
Mutsu bay,Japan,5440,77.84,93.35,35,0
Zeyit - Kelif,Turkmenistan,5441,1110.96,16.16,13.88,0
Gunung Watusangia,Indonesia,5442,250.19,0,17.14,0
Lower Yoshinogawa river,Japan,5443,85.5,26.68,53.88,0
Ponds and creeks in Nobi Plain,Japan,5444,194.3,17.39,51.56,0
Qilangaarsuit and adjacent islands,Greenland (to Denmark),5445,3.02,0,NA,0
Karapınar Plain,Turkey,5446,375.54,4.35,19.34,0
Alexpan,South Africa,5447,21.24,0,18.55,0
Ingula Nature Reserve,South Africa,5448,163.74,0,11.62,0
Icy Bay,USA,5449,39.56,60.81,4,0
Southern Japan Alps,Japan,5450,1614.76,79.33,16.28,0
Matiri Forest Reserve,Uganda,5451,196.2,80.7,17.62,0
Lutembe Bay,Uganda,5452,20.65,0,26.95,0
"Rothiesholm Peninsula, Stronsay",United Kingdom,5453,3.54,0,18,0
Boundary Bay - Roberts Bank - Sturgeon Bank (Fraser River Estuary),Canada,5454,572.24,17.73,53.5,0
Parque Nacional da Chapada dos Veadeiros e Adjacências,Brazil,5455,4362.82,69.27,13.43,0
Nam Phoun,Laos,5456,2208.56,89.95,15.76,0
Ilinska Planina Mt.,"Macedonia, the former Yugoslav Republic of",5457,49.12,0,14.09,0
Mata Estrela,Brazil,5458,143.66,28.57,21.04,0
Islands of the Central River Division,Gambia,5459,224.11,13.43,21,0
South-west Slopes of NSW,Australia,5460,26964.19,5.42,18.82,0
Wembere steppe,Tanzania,5461,3553.98,0.39,19.03,0
Rochers de Biarritz : le Bouccalot et la Roche Ronde,France,5462,42.44,88.25,44.03,0
Tenryu River and Okumikawa,Japan,5463,706.64,99.6,19.34,0
Croatan Forest,USA,5464,1214.4,85.35,26.99,0
Kouakourou,Mali,5465,347.06,0,26.65,0
Barra de Santiago,El Salvador,5466,96.99,24.14,29.87,0
Byobuyama Wetland Cluster,Japan,5467,114.54,68.18,27.87,0
Bac Lieu,Vietnam,5468,23.78,14.29,33.44,0
Ca Mau,Vietnam,5469,13.6,0,28.82,0
Çöl Lake and Çalıkdüzü,Turkey,5470,548.58,0,20.73,0
Mount Fuji,Japan,5471,286.17,95.1,17.83,0
Koumbé Niasso,Mali,5472,399.61,0,26.17,0
Head Qadirabad Game Reserve,Pakistan,5473,95.97,0,24.03,0
Campo Llano,Paraguay,5474,424.04,0,14.3,0
Çavuşçu Lake,Turkey,5475,59.39,0,23.33,0
Dedegöl Mountains,Turkey,5476,1475.23,0,20.09,0
Ezogadate reservoir,Japan,5477,2.61,0,43.2,0
Mawarizeki and Sunazawa reservoir,Japan,5478,26.08,60.01,39.86,0
Shimokita Wetland Cluster,Japan,5479,46.86,0,36.95,0
"Hotokenuma, Lake Ogawara and nearby lakes",Japan,5480,187.51,13.89,38.92,0
Aomori Plain,Japan,5481,28.65,45.44,47.55,0
Wichita Mountains National Wildlife Refuge,USA,5482,325.25,96.52,16.2,0
Sarygamysh,Turkmenistan,5483,5290.27,54.44,10.97,0
Lower reaches of the Ashchyozek River,Kazakhstan,5484,2097.73,0,6.58,0
Mid-Abbay (Blue Nile) river basin,Ethiopia,5485,9333.94,0,18.03,0
Telineelapuram,India,5486,6.53,0,36.35,0
Webb Wildlife Management Area,USA,5487,52.2,66.66,14.22,0
Monumento Natural Tepui Parú,Venezuela,5488,96.1,0,0,0
Okefenokee National Wildlife Refuge,USA,5489,1824.32,99.84,13.88,0
Suduroy,Faroe Islands (to Denmark),5490,42.62,0,24.51,0
Aichi Kogen,Japan,5491,757.1,96.29,18.07,0
Wiang Lo,Thailand,5492,1740.23,36.41,16.57,0
Lac Télé,Mali,5493,52.82,0,20.44,0
Seal Cape Marine,USA,5494,330.77,95.34,4.75,0
Osceola National Forest-Okefenokee Swamp,USA,5495,23.77,75,12.78,0
Arjan Protected Area,"Iran, Islamic Republic of",5496,832.17,96.76,15.3,0
Kunovatski,Russia (Central Asian),5497,2388.19,98.29,0,0
Phoosna Wetlands Complex,Pakistan,5498,18.74,0,24.95,0
San Lorenzo National Park,Panama,5499,176.66,0,26.09,0
Palamau Tiger Reserve,India,5500,2040.87,43.4,19.83,0
Salda Lake,Turkey,5501,54.58,0,16.99,0
Mounts Nogo-hakusan and Ibuki,Japan,5502,1134.2,80.8,18.72,0
Meseta del Asador (o Aguila),Argentina,5503,645.04,0,1.72,0
Schast'ya bay,Russia (Asian),5504,256.69,0,8.22,0
Ucchali Wetland Complex,Pakistan,5505,20.31,0,24.54,0
Krka and Surrounding Plateau,Croatia,5506,996.71,99,31.43,0
"Kiso, Nagara and Ibi Rivers",Japan,5507,703.41,80.44,54.86,0
Djebel Megris,Algeria,5508,99.84,0,20.61,0
Sangla (Raksham Chitkul) Wildlife Sanctuary,India,5509,417.4,62.68,16.29,0
Sterkfontein Dam Nature Reserve,South Africa,5510,420.37,56.14,15.48,0
Monumento Natural Tepui Yutajé,Venezuela,5511,366.49,0,1.69,0
Haft Barm,"Iran, Islamic Republic of",5512,14.93,0,16.93,0
Perairan Kepulauan Banda,Indonesia,5513,24.02,71.43,14.03,0
Xinjiang Yiyang Qinghu Section,China (mainland),5514,145.4,0,30.7,0
Dushakerekdag,Turkmenistan,5515,181.88,0,15.49,0
Ait Bougmes,Morocco,5516,1532.59,11.06,13.39,0
Khawr Abdallah,Iraq,5517,551.14,0,23.84,0
Meskheti,Georgia,5518,962.2,0,21.41,0
Lakes Alexandrina and Albert,Australia,5519,1673.54,77.2,20.37,0
Karara and Lochada,Australia,5520,2805.26,0.96,2.82,0
Meinypylginski and Kapylgyn lakes,Russia (Asian),5521,1576.24,0,1.24,0
Chiquibul,Guatemala,5522,1570.68,99.37,18.39,0
Golden Gate Highlands National Park,South Africa,5523,450.77,99.33,12.92,0
Trois Fourches,Morocco,5524,50.52,61.1,25.31,0
Nialama,Guinea,5525,246.17,13.7,18.55,0
Boeung Prek Lapouv,Cambodia,5526,148.82,61.36,27.02,0
Malolotja Nature Reserve,Swaziland,5527,213.3,92.75,22.56,0
Sara mountain,Serbia,5528,1268.73,5.24,23.49,0
Alexandria Coast,Egypt,5529,3284.74,0.54,34.55,0
Khar Us Lake,Mongolia,5530,1497.91,86.52,9.42,0
Linkang Shan Nature Reserve,China (mainland),5531,240.3,36.59,17.01,0
Nebrodi,Italy,5532,559.43,77.65,30.05,0
Northern Green Mountains IBA,USA,5533,1335.94,19.12,21.26,0
Monumento Natural Tepui Yavi,Venezuela,5534,253.49,0,0.2,0
Marala Game Reserve,Pakistan,5535,63.72,0,23.57,0
Hirfanlı Reservoir,Turkey,5536,707.87,0,22.75,0
Shicheng Dao Island,China (mainland),5537,23.9,0,16.4,0
Nanthaburi,Thailand,5538,1178.48,5.25,16.94,0
Campamento Junglaven,Venezuela,5539,1807.41,35.68,3.09,0
Van Plains,Turkey,5540,1010.08,0,20.1,0
Saiga Nature Sanctuary,Uzbekistan,5541,5118.72,0,6.55,0
Aldoma bay,Russia (Asian),5542,30.13,62.48,9.05,0
Northern Everglades,USA,5543,4576.98,5.47,9.26,0
Dandora ponds,Kenya,5544,13.77,0,20.22,0
Nairobi National Park,Kenya,5545,203.03,93.22,41,0
Vøtnini á Sandoy (Lakes of Sandoy),Faroe Islands (to Denmark),5546,22.75,0,20.92,0
Jermook,Armenia,5547,169.28,67.17,19.25,0
Kepulauan Tayandu,Indonesia,5548,78.8,0,15.33,0
Khokh Serkhiin Nuruu,Mongolia,5549,847.37,98.09,10.72,0
Lough Foyle and River Foyle,United Kingdom,5550,120.35,73.74,47.95,0
Loch Ryan,United Kingdom,5551,17.79,11.11,28.82,0
Swain's Atoll Marine,American Samoa,5552,3.38,0,NA,0
Beyşehir Lake,Turkey,5553,356.36,0,21.68,0
Taipa-Coloane,Macao,5554,38.27,0,NA,0
Arystandy,Kazakhstan,5555,273.27,0,12.86,0
Middle valley of Tagliamento river,Italy,5556,360.81,21.09,24.78,0
Monumento Natural das Árvores Fossilizadas e Adjacências,Brazil,5557,1812.7,24.48,15.13,0
Uvsiin Khar Lake,Mongolia,5558,146.46,0,7.97,0
Göksu Valley,Turkey,5559,750.05,0,24.94,0
Tramore Backstrand,Ireland,5560,21.12,90,45.82,0
Gharana Wetland Reserve,India,5561,8.7,0,22.81,0
Orqohan,China (mainland),5562,5726.6,0,14.87,0
Dashtidjum,Tajikistan,5563,471.63,51.47,18.15,0
Jepson Grasslands,USA,5564,205.47,34.2,22.08,0
Pech and Waygal valleys,Afghanistan,5565,1953.87,0,15.02,0
Deininger,El Salvador,5566,56.9,23.53,32.61,0
Songimvelo Nature Reserve,South Africa,5567,650.05,99.52,31.34,0
Estancia Redondo,Paraguay,5568,107.76,0,11.94,0
Hobatere,Namibia,5569,1789.23,98,3.41,0
Hobcaw Barony,USA,5570,80.53,89.29,28.3,0
Brosnan Forest,USA,5571,86.46,3.33,22.39,0
Horeh Bamdej,"Iran, Islamic Republic of",5572,87.82,3.33,23.18,0
Akzhar Lakes,Kazakhstan,5573,334.24,0,5.64,0
Vedanthangal and Karikili Bird Sanctuary,India,5574,20.16,0,26.23,0
Bandar Kiashar lagoon and mouth of Sefid Rud,"Iran, Islamic Republic of",5575,35.53,84.61,38.77,0
Periyakadawela,Sri Lanka,5576,6.82,0,32.48,0
Karun river marshes,"Iran, Islamic Republic of",5577,190.24,0,24.04,0
Kurtusuv - Khovudan,Turkmenistan,5578,462.79,57.65,14.38,0
Karkheh river marshes,"Iran, Islamic Republic of",5579,321.7,83.64,19.71,0
Yılanlıkale Hills,Turkey,5580,159.58,0,27.39,0
Hima Al-Hamid,Saudi Arabia,5581,35.61,0,29.11,0
Dorudsan dam,"Iran, Islamic Republic of",5582,86.25,0,19.01,0
Tashgain Tavan Lakes,Mongolia,5583,648.85,0,10.6,0
Estancia Guaycolec,Argentina,5584,260.04,7.14,14.23,0
Holly Shelter-Angola Bay,USA,5585,901.26,2.83,16.34,0
Kyzylkol Lake,Kazakhstan,5586,74.6,0,7.3,0
Miankaleh Peninsula and Gorgan Bay,"Iran, Islamic Republic of",5587,462.88,98.22,40.28,0
Lake Wolderwijd,Netherlands,5588,58.9,92.86,24.16,0
Boz Mountains,Turkey,5589,2694.66,0,19.68,0
Evoron-Chukchagirskoye depression,Russia (Asian),5590,2859.64,31.98,5.03,0
Dorso Occidental Subhúmedo de Santa Fe,Argentina,5591,5419.17,0,17.16,0
Divichi liman (or Lake Akzibir),Azerbaijan,5592,108.69,0,18.82,0
Doi Phukha,Thailand,5593,2072.02,97.49,14.32,0
Northern Montague Island,USA,5594,102.41,0,4.98,0
Western Gulf of Tunis,Tunisia,5595,241.52,0,34.86,0
Smøla archipelago,Norway,5596,274.51,54.52,21.22,0
Chao Phraya River from Nonthaburi to Nakon Sawan,Thailand,5597,1547.32,0,33.3,0
Gonjo,China (mainland),5598,6533.83,0,8.22,0
Shirvan area,"Iran, Islamic Republic of",5599,95.67,0,27.83,0
Hamidieh (Omidiyeh) plains,"Iran, Islamic Republic of",5600,1203.97,0,26.56,0
Upper Motoarakawa,Japan,5601,22.24,37.5,52.67,0
Kaftar lake,"Iran, Islamic Republic of",5602,97.81,0,15.5,0
Barra Concepción,Argentina,5603,51.63,0,17.27,0
Maloti Drakensberg Park,South Africa,5604,2459.88,98.77,13.72,0
"Kumozugawa, Atagogawa and Kongogawa estuaries",Japan,5605,19.83,85.72,56.24,0
Ponds in Foothill of Mts. Ikoma and Shigi,Japan,5605,50.97,94.44,49.91,0
Grandes Chutes,Guinea,5607,186.51,90.91,19.63,0
Malden Island,Kiribati,5608,13.74,0,0,0
Plaine Kaw et Pointe Béhague,French Guiana,5609,1358.92,76.01,7.85,0
Eqalummiut Nunaat-Nassuttuup Nunaa,Greenland (to Denmark),5610,1465.63,99.73,4,0
Okayama Plain,Japan,5611,308.59,17.43,42.52,0
Aonogahara,Japan,5612,22.59,0,50.65,0
Hojo,Japan,5613,28.23,90,48.47,0
Dez river marshes and plains,"Iran, Islamic Republic of",5614,359.45,92.68,29.62,0
Matese,Italy,5615,843.75,86.56,27.78,0
Desolation Sound,Canada,5616,242.58,63.66,6.37,0
Rooiberge-Riemland,South Africa,5617,4766.39,7.75,22.23,0
Mountain ranges of Cordoba,Spain,5618,776.58,55.6,28.36,0
Mount Hyonosen,Japan,5619,300.45,83.18,16.3,0
Khor Dirif,Oman,5620,3.26,0,8,0
Zaranik Protected Area,Egypt,5621,150.35,90.19,21.15,0
"Chinstrap Cove, Clarence Island",Antarctica,5622,3.31,0,NA,0
Bahir Dar - Lake Tana,Ethiopia,5623,1063.9,0,21.87,0
Lake Hawdon System,Australia,5624,375.38,34.3,12.5,0
Barda tugai forest,Azerbaijan,5625,154.71,0,23.52,0
Khankhovuz,Turkmenistan,5626,342.94,0,17.68,0
Banhado São Donato,Brazil,5627,288.93,32.31,10.68,0
Hestur,Faroe Islands (to Denmark),5628,4.86,0,17.47,0
Sri Venkateswara Wildlife Sanctuary and National Park,India,5629,1180.44,8.79,22.59,0
Hazaribagh Wildlife Sanctuary and North Karanpur Valley,India,5630,559.74,52.2,21.29,0
Sandras Mountain,Turkey,5631,1529.46,0,19.06,0
Xijin Reservoir,China (mainland),5632,266.85,0,24.21,0
Middle reaches of the Iman river,Russia (Asian),5633,2207.5,35.61,9.87,0
Waterberg System,South Africa,5634,13823.71,48.75,14.43,0
Santmargatsyn Bayan Lake,Mongolia,5635,134.65,71.2,5.27,0
Wawashan,Nicaragua,5636,2448.36,98.63,11.24,0
Zevskoye plateau,Russia (Asian),5637,300.71,94.49,2,0
El Malaha,Egypt,5638,5.89,0,39.17,0
Cádiz bay,Spain,5639,251.78,84.62,48.05,0
Yodo River System,Japan,5640,367.1,61.56,50.31,0
Valle F. Ippari e Punta Braccetto,Italy,5641,90.84,93.94,50.22,0
Ørlandet,Norway,5642,33.57,68.17,27,0
Khosrov Reserve,Armenia,5643,384.76,91.78,17.94,0
Monti Iblei,Italy,5644,236.01,89.54,29.31,0
Parque Nacional Natural Amacayacu,Colombia,5645,2975.63,98.85,4.62,0
Lake Biwako,Japan,5646,185.44,96.97,44.57,0
Ilnik Marine,USA,5647,117.43,24.09,4,0
Nagi Dam and Nakti Dam Bird Sanctuary,India,5648,34.36,0,18.04,0
Sainte-Marie Island (Ambohidena),Madagascar,5649,148.2,0,22.29,0
Blacksand Spit Colony,USA,5650,173.21,0,8.67,0
Armutlu Peninsula,Turkey,5651,721.98,0,22.72,0
Lake Maharlu,"Iran, Islamic Republic of",5652,371.7,0,16.98,0
Jubo Ramsar Site,Pakistan,5653,103.49,0,16.06,0
Madrona and Andújar mountain ranges,Spain,5654,2624.68,93.12,18.78,0
Mersin Hills,Turkey,5655,556.1,0,21.49,0
Santander Bay,Spain,5656,65,26.92,48.61,0
"Reserva de Uso Múltiple de Bahía Blanca, Bahía Falsa y Bahía Verde",Argentina,5657,960.49,1.95,32.41,0
Qafta-Shiraro National Park,Ethiopia,5658,4242.67,1.26,18.6,0
Azara,Argentina,5659,45.56,0,20.72,0
Patnos,Turkey,5660,258.71,0,24.04,0
Mtwara District Coastal Forests,Tanzania,5661,43.99,0,14,0
Marble Canyon and Vermilion Cliffs,USA,5662,814.16,86.81,15.13,0
Otgontenger Mountain,Mongolia,5663,982.96,94.1,3.71,0
Kaliveli Tank and Yeduyanthittu estuary,India,5664,67.31,0,24.89,0
Miyako islands,Japan,5665,190.66,52.46,43.03,0
"West Coast, Lewis (Corncrake)",United Kingdom,5666,63.13,45.67,21.88,0
Shoal Bay (Darwin),Australia,5667,127.78,5.26,17.04,0
Yeiski salt-lakes,Russia (European),5668,21.23,0,31.32,0
"Lake Towada, Mount Hakkoda",Japan,5669,614.76,80.84,16.06,0
Great Fish,South Africa,5670,1318.3,45.74,12.97,0
Bulanık and Malazgirt Plains,Turkey,5671,520.49,0,23.9,0
Achit Lake,Mongolia,5672,851.49,17.13,12.91,0
Sumbar,Turkmenistan,5673,2395.57,17.88,13.08,0
Parque Nacional do Jaú,Brazil,5674,24654.41,99.96,0,0
Great Stone Top and Shore Island,St Helena (to UK),5675,3.31,0,NA,0
Valle de Camarones sector Cuya,Chile,5676,16.26,0,10.81,0
"Vapour Col, Deception Island",Antarctica,5677,6.25,0,NA,0
Akrotiri Peninsula - Episkopi Cliffs,Cyprus,5678,110.46,0,37.75,0
Dönemeç Delta,Turkey,5679,97.2,0,24.67,0
Gamgul Siahbehi Wildlife Sanctuary,India,5680,173.49,0,16.81,0
Rio Arrojado,Brazil,5681,4763.46,0,14.08,0
Mararoa River,New Zealand,5682,144.82,66.7,15.68,0
Göksu Delta,Turkey,5683,182.99,54.56,39.86,0
Pocharam Wildlife Sanctuary,India,5684,245.24,51.99,22.53,0
Myeik Archipelago,Myanmar,5685,3821.16,3.19,16.85,0
"Tokmakia islets, Lesvos",Greece,5686,29.31,54.53,21.34,0
Wetlands of western Almería,Spain,5687,33.1,58.34,38.52,0
Honduras,Dominican Republic,5688,22.86,0,19.94,0
Lambert Channel/Hornby Island Waters,Canada,5689,33.51,46.66,19.83,0
Izeh and Sheikho lakes,"Iran, Islamic Republic of",5690,67.25,0,30.48,0
Mountain Zebra National Park complex,South Africa,5691,2460.71,14.92,4.25,0
Ereğli Plain,Turkey,5692,1577.44,0,19,0
"Usedom lagoon (Peenestrom, Achterwasser, Kleines Haff with Neuwarper See)",Germany,5693,204.56,88.16,30.68,0
Suyahu Wetland Nature Reserve,China (mainland),5694,126.95,0,19.37,0
Ruvubu National Park,Burundi,5695,711.48,98.07,18.36,0
Kepulauan Selayar,Indonesia,5696,174.54,0,20.73,0
"Lake Bakhtegan, Lake Tashk and Kamjan marshes","Iran, Islamic Republic of",5697,3153.57,96.39,16.77,0
Khongil,Mongolia,5698,90,17.94,5.08,0
Baro river,Ethiopia,5699,1519.15,46.64,19.09,0
San Antonio Oeste,Argentina,5700,2489,6.6,11.48,0
Mekong River from Luang Prabang to Vientiane,Laos,5701,1592.56,1.85,22.19,0
Khasagt Khairkhan Mountain,Mongolia,5702,351.33,91.28,3.31,0
Campiña de Jerez - Lebrija y Marisma de Trebujena,Spain,5703,581.65,0.95,35.53,0
Ausoni and Aurunci mountains,Italy,5704,622.21,75.09,30.99,0
Taigam Lake,Mongolia,5705,80.73,0,5.84,0
Gorelde,Turkmenistan,5706,459.78,0,23,0
Los Tollos lake,Spain,5707,5.51,0,44.33,0
Aksu Valley,Turkey,5708,322.19,0,19.7,0
Riou Spit Colony,USA,5709,72.49,2.38,4,0
Área Natural de Manejo Integrado San Matías,Bolivia,5710,33648.47,88.4,8.65,0
Barataria Terrebonne,USA,5711,8806,3.05,21.49,0
Shantar islands,Russia (Asian),5712,2338.67,99.91,4,0
Waterberg Plateau Park,Namibia,5713,541.98,99.41,6.72,0
Ousteri Lake,India,5714,30.31,0,44.53,0
Bahour Lake,India,5715,16.85,0,32.85,0
Karkamış,Turkey,5716,231.09,0,27.82,0
Lagune de Korba,Tunisia,5717,13.82,0,36.32,0
Los Amigos,Peru,5718,1789.11,0.19,2.43,0
Lachipora Wildlife Sanctuary,India,5719,133.81,97.87,18.13,0
Limbar Valley Wildlife Sanctuary,India,5719,76.87,96.29,44.41,0
Deh Akro Wildlife Sanctuary,Pakistan,5721,160.31,0,15.61,0
Condado-Campiña,Spain,5722,708.03,25.1,34.71,0
Chisamba,Zambia,5723,641.73,33.68,20.15,0
Gongbo Nature Reserve,China (mainland),5724,22225.85,3.9,3.49,0
Sarufutsu,Japan,5725,484.79,17.99,18.73,0
"Return Point / Cheal Point, Coronation Island",Antarctica,5726,1.69,0,NA,0
"Gibbon Bay, Coronation Island",Antarctica,5726,5.06,0,NA,0
Islet south of Gerlache Island,Antarctica,5728,1.47,0,NA,0
"Saddleback Point, Elephant Island",Antarctica,5728,1.66,0,NA,0
"Ferguslie Peninsula, Laurie Island",Antarctica,5728,1.68,0,NA,0
Monterrico-Rio La Paz,Guatemala,5731,257.36,14.28,26.81,0
Cape North,Canada,5732,51.66,36.38,18.47,0
"Lebrija, Las Cabezas and Espera lagoons",Spain,5733,137.65,87.99,25.52,0
Franklin's Forest,Cayman Islands (to UK),5734,9.75,0,29.1,0
Central Mangrove Wetland,Cayman Islands (to UK),5735,68.22,90.47,35.9,0
Edremit Reedbeds,Turkey,5736,35.06,0,33.17,0
Red Hills Region,USA,5737,7546.64,0.47,8.75,0
Raas Xaafuun - Raas Gumbax,Somalia,5738,1035.73,0,8.03,0
Tivat Salina,Montenegro,5739,5.08,50,23.76,0
Mundel Lake,Sri Lanka,5740,34.1,0,31.39,0
Lower Tokachi river,Japan,5741,171.84,11.78,35.02,0
